index	initial_lddt	final_lddt	ideal_lddt
0	tensor(0.6347)	tensor(0.6919)	tensor(0.7220)
40	tensor(0.5354)	tensor(0.5354)	tensor(0.6527)
80	tensor(0.4837)	tensor(0.4837)	tensor(0.5706)
120	tensor(0.4755)	tensor(0.4755)	tensor(0.5748)
160	tensor(0.2964)	tensor(0.2964)	tensor(0.4060)
200	tensor(0.6313)	tensor(0.6313)	tensor(0.7132)
240	tensor(0.3593)	tensor(0.3593)	tensor(0.4372)
280	tensor(0.4306)	tensor(0.4306)	tensor(0.5303)
320	tensor(0.4958)	tensor(0.4958)	tensor(0.5974)
360	tensor(0.7030)	tensor(0.7030)	tensor(0.7939)
400	tensor(0.2755)	tensor(0.2755)	tensor(0.3676)
440	tensor(0.4626)	tensor(0.4626)	tensor(0.5844)
480	tensor(0.4837)	tensor(0.4837)	tensor(0.5797)
520	tensor(0.4139)	tensor(0.5508)	tensor(0.4903)
560	tensor(0.5291)	tensor(0.6181)	tensor(0.6315)
600	tensor(0.4947)	tensor(0.4947)	tensor(0.6290)
640	tensor(0.5002)	tensor(0.6508)	tensor(0.6246)
680	tensor(0.4306)	tensor(0.4306)	tensor(0.5506)
720	tensor(0.4404)	tensor(0.4404)	tensor(0.5439)
760	tensor(0.6054)	tensor(0.6054)	tensor(0.6886)
800	tensor(0.4633)	tensor(0.4633)	tensor(0.5646)
840	tensor(0.3847)	tensor(0.5418)	tensor(0.5080)
880	tensor(0.4272)	tensor(0.4272)	tensor(0.5518)
920	tensor(0.4590)	tensor(0.4590)	tensor(0.5809)
960	tensor(0.4999)	tensor(0.4999)	tensor(0.5840)
1000	tensor(0.2631)	tensor(0.2631)	tensor(0.3698)
1040	tensor(0.4063)	tensor(0.4063)	tensor(0.5472)
1080	tensor(0.4560)	tensor(0.6017)	tensor(0.5709)
1120	tensor(0.3715)	tensor(0.3715)	tensor(0.4808)
1160	tensor(0.4176)	tensor(0.4176)	tensor(0.5573)
1200	tensor(0.4583)	tensor(0.4583)	tensor(0.5536)
1240	tensor(0.4650)	tensor(0.4650)	tensor(0.5767)
1280	tensor(0.4527)	tensor(0.5746)	tensor(0.5305)
1320	tensor(0.4766)	tensor(0.4766)	tensor(0.5900)
1360	tensor(0.4324)	tensor(0.4324)	tensor(0.5476)
1400	tensor(0.4738)	tensor(0.5893)	tensor(0.5627)
1440	tensor(0.2057)	tensor(0.2057)	tensor(0.3935)
1480	tensor(0.3961)	tensor(0.3961)	tensor(0.4809)
1520	tensor(0.3636)	tensor(0.3636)	tensor(0.5172)
1560	tensor(0.4997)	tensor(0.5622)	tensor(0.5636)
1600	tensor(0.4644)	tensor(0.4644)	tensor(0.5497)
1640	tensor(0.4310)	tensor(0.4310)	tensor(0.5534)
1680	tensor(0.3977)	tensor(0.3977)	tensor(0.5021)
1720	tensor(0.4902)	tensor(0.4902)	tensor(0.5811)
1760	tensor(0.4409)	tensor(0.5615)	tensor(0.5768)
1800	tensor(0.4756)	tensor(0.7369)	tensor(0.5602)
1840	tensor(0.3295)	tensor(0.3295)	tensor(0.4413)
1880	tensor(0.4650)	tensor(0.5657)	tensor(0.5787)
1920	tensor(0.3911)	tensor(0.3911)	tensor(0.5256)
1960	tensor(0.4094)	tensor(0.4094)	tensor(0.5272)
2000	tensor(0.4151)	tensor(0.4151)	tensor(0.5290)
2040	tensor(0.2403)	tensor(0.2403)	tensor(0.3667)
